iter	Passed	Remaining
0	218	217982
1	220	109946
2	221	73612
3	222	55466
4	224	44580
5	225	37417
6	226	32188
7	227	28261
8	229	25238
9	230	22794
10	231	20793
11	232	19124
12	233	17738
13	234	16529
14	235	15482
15	236	14564
16	237	13756
17	238	13034
18	239	12386
19	241	11828
20	242	11303
21	243	10823
22	244	10384
23	245	9986
24	246	9616
25	247	9275
26	248	8957
27	250	8681
28	251	8413
29	252	8163
30	253	7930
31	254	7707
32	256	7523
33	259	7363
34	260	7177
35	261	6996
36	262	6827
37	263	6663
38	264	6509
39	265	6363
40	266	6223
41	266	6089
42	267	5963
43	268	5842
44	269	5725
45	270	5612
46	271	5505
47	272	5409
48	273	5309
49	274	5215
50	275	5123
51	276	5033
52	277	4950
53	277	4868
54	278	4789
55	279	4712
56	280	4638
57	281	4572
58	282	4503
59	283	4437
60	284	4372
61	284	4309
62	285	4249
63	286	4190
64	287	4132
65	288	4077
66	288	4023
67	290	3979
68	291	3929
69	292	3880
70	293	3834
71	293	3788
72	294	3744
73	295	3699
74	296	3656
75	297	3614
76	298	3574
77	299	3537
78	300	3497
79	300	3459
80	302	3430
81	303	3397
82	303	3358
83	304	3323
84	307	3313
85	308	3281
86	309	3249
87	310	3219
88	311	3188
89	312	3158
90	313	3129
91	316	3122
92	317	3095
93	318	3067
94	319	3042
95	320	3015
96	321	2988
97	321	2962
98	322	2937
99	324	2920
100	325	2895
101	326	2870
102	327	2847
103	327	2825
104	328	2804
105	329	2782
106	330	2762
107	333	2755
108	334	2734
109	335	2713
110	336	2695
111	337	2675
112	338	2655
113	339	2635
114	339	2615
115	341	2602
116	342	2584
117	343	2566
118	344	2547
119	345	2532
120	346	2515
121	346	2496
122	347	2479
123	348	2462
124	349	2448
125	350	2434
126	351	2416
127	352	2401
128	353	2386
129	354	2371
130	355	2355
131	355	2340
132	356	2326
133	357	2311
134	359	2300
135	359	2287
136	360	2273
137	361	2259
138	362	2246
139	363	2232
140	364	2219
141	364	2204
142	365	2191
143	366	2178
144	367	2167
145	368	2155
146	369	2143
147	370	2131
148	371	2120
149	372	2109
150	373	2098
151	374	2086
152	374	2075
153	375	2063
154	376	2054
155	377	2043
156	378	2032
157	379	2021
158	380	2011
159	381	2001
160	381	1989
161	382	1978
162	383	1968
163	384	1958
164	385	1952
165	386	1942
166	387	1932
167	388	1922
168	389	1913
169	389	1904
170	390	1894
171	391	1885
172	392	1875
173	393	1867
174	394	1859
175	395	1850
176	395	1841
177	396	1832
178	397	1824
179	398	1815
180	399	1807
181	400	1798
182	400	1789
183	401	1781
184	403	1775
185	403	1767
186	404	1759
187	405	1751
188	406	1743
189	407	1736
190	408	1728
191	408	1720
192	409	1712
193	410	1705
194	411	1700
195	412	1693
196	413	1685
197	414	1678
198	415	1671
199	416	1665
